,ID Reference Number ,Subject's age,Adjacent to School,District of occurrence
0,1,43,0,6.0
1,2,23,0,1.0
2,3,18,0,1.0
3,4,21,0,1.0
4,5,38,0,4.0
5,6,31,0,3.0
6,7,37,0,6.0
7,8,40,0,4.0
8,9,34,0,3.0
9,10,23,0,3.0
10,11,49,0,5.0
11,12,27,0,3.0
12,13,40,0,6.0
13,14,32,0,3.0
14,15,28,1,3.0
15,16,25,0,3.0
16,17,25,0,6.0
17,18,30,0,4.0
18,19,29,0,5.0
19,20,25,1,5.0
20,21,35,0,3.0
21,22,26,0,1.0
22,23,38,0,3.0
23,24,24,0,6.0
24,25,37,0,6.0
25,26,39,0,4.0
26,27,23,1,6.0
27,28,49,0,3.0
28,29,40,0,6.0
29,30,40,0,6.0
30,31,40,0,3.0
31,32,32,0,5.0
32,33,25,0,6.0
33,34,41,0,2.0
34,35,31,0,1.0
35,36,29,0,1.0
36,37,31,0,5.0
37,38,20,0,8.0
38,39,18,0,3.0
39,40,18,0,3.0
40,41,19,0,8.0
41,42,30,0,4.0
42,43,20,0,5.0
43,44,16,0,5.0
44,45,21,0,5.0
45,46,20,0,5.0
46,47,20,0,2.0
47,48,23,0,5.0
48,49,33,0,6.0
49,50,23,0,5.0
50,51,19,0,5.0
51,52,60,0,1.0
52,53,34,0,3.0
53,54,39,0,6.0
54,55,24,0,5.0
55,56,39,1,2.0
56,57,62,0,3.0
57,58,55,0,1.0
58,59,28,0,4.0
59,60,45,0,3.0
60,61,38,0,6.0
61,62,30,0,1.0
62,63,16,0,5.0
63,64,36,0,4.0
64,65,30,0,2.0
65,66,34,0,6.0
66,67,40,0,5.0
67,68,28,0,4.0
68,69,31,0,5.0
69,70,21,1,1.0
70,71,25,0,2.0
71,72,52,0,2.0
72,73,35,0,6.0
73,74,20,0,4.0
74,75,18,0,4.0
75,76,35,0,4.0
76,77,20,0,4.0
77,78,56,0,2.0
78,79,24,0,2.0
79,80,55,0,4.0
80,81,53,0,5.0
81,82,28,0,1.0
82,83,55,0,6.0
83,84,17,0,6.0
84,85,19,0,6.0
85,86,20,0,6.0
86,87,31,0,6.0
87,88,22,0,6.0
88,89,31,0,3.0
89,90,27,0,4.0
90,91,31,0,3.0
91,92,19,0,6.0
92,93,38,0,4.0
93,94,48,0,6.0
94,95,19,0,4.0
95,96,21,0,4.0
96,97,15,1,8.0
97,98,16,1,8.0
98,99,27,0,3.0
99,100,18,0,3.0
100,101,51,0,1.0
101,102,17,0,4.0
102,103,57,0,5.0
103,104,26,0,5.0
104,105,24,0,5.0
105,106,23,0,5.0
106,107,20,0,5.0
107,108,36,0,4.0
108,109,33,0,6.0
109,110,33,0,5.0
110,111,31,0,5.0
111,112,25,0,4.0
112,113,36,0,3.0
113,114,38,0,5.0
114,115,19,1,6.0
115,116,35,1,6.0
116,117,52,0,5.0
117,118,52,0,5.0
118,119,35,0,5.0
119,120,38,0,3.0
120,121,38,0,3.0
121,122,53,0,1.0
122,123,31,0,6.0
123,124,52,0,5.0
124,125,52,0,5.0
125,126,35,0,5.0
126,127,49,0,3.0
127,128,25,0,4.0
128,129,26,0,4.0
129,130,38,0,6.0
130,131,21,0,3.0
131,132,19,0,6.0
132,133,29,0,3.0
133,134,21,0,6.0
134,135,19,0,5.0
135,136,48,1,4.0
136,137,29,0,4.0
137,138,47,0,4.0
138,139,35,0,4.0
139,140,25,0,3.0
140,141,20,0,4.0
141,142,29,0,3.0
142,143,27,0,3.0
143,144,44,0,3.0
144,145,42,0,4.0
145,146,24,0,
146,147,47,0,6.0
147,148,22,0,3.0
148,149,18,0,6.0
149,150,19,0,6.0
150,151,29,0,6.0
151,152,30,0,6.0
152,153,56,0,1.0
153,154,26,0,5.0
154,155,26,0,1.0
155,156,36,0,6.0
156,157,40,0,1.0
157,158,31,0,4.0
158,159,39,0,4.0
159,160,31,1,4.0
160,161,36,0,6.0
161,162,55,0,6.0
162,163,36,0,5.0
163,164,32,0,6.0
164,165,49,0,6.0
165,166,31,0,3.0
166,167,43,0,5.0
167,168,35,0,1.0
168,169,49,0,3.0
169,170,47,0,3.0
170,171,22,0,3.0
171,172,20,0,3.0
172,173,18,0,3.0
173,174,56,0,3.0
174,175,56,0,3.0
175,176,52,1,1.0
176,177,24,0,6.0
177,178,32,0,3.0
178,179,51,0,1.0
179,180,20,0,1.0
180,181,21,0,1.0
181,182,45,0,6.0
182,183,26,0,6.0
183,184,19,0,4.0
184,185,21,0,4.0
185,186,35,0,2.0
186,187,44,0,3.0
187,188,41,0,2.0
188,189,38,0,5.0
189,190,50,0,3.0
190,191,43,0,6.0
191,192,27,0,2.0
192,193,51,1,3.0
193,194,57,0,2.0
194,195,36,0,2.0
195,196,26,0,2.0
196,197,35,0,2.0
197,198,55,0,2.0
198,199,27,0,6.0
199,200,29,0,4.0
200,201,40,1,4.0
201,202,53,0,5.0
202,203,19,0,3.0
203,204,18,0,3.0
204,205,39,0,6.0
205,206,32,0,6.0
206,207,37,0,1.0
207,208,23,0,6.0
208,209,35,0,1.0
209,210,33,0,5.0
210,211,27,0,6.0
211,212,22,0,4.0
212,213,55,0,6.0
213,214,25,0,5.0
214,215,64,0,1.0
215,216,43,0,3.0
216,217,38,0,5.0
217,218,35,0,1.0
218,219,46,0,5.0
219,220,43,0,3.0
220,221,15,0,5.0
221,222,19,0,2.0
222,223,28,0,4.0
223,224,31,0,1.0
224,225,51,0,1.0
225,226,60,0,3.0
226,227,51,0,4.0
227,228,40,0,5.0
228,229,30,0,3.0
229,230,20,0,3.0
230,231,34,0,6.0
231,232,19,0,3.0
232,233,23,0,3.0
233,234,18,0,4.0
234,235,20,0,6.0
235,236,54,0,2.0
236,237,26,0,5.0
237,238,20,0,1.0
238,239,36,0,6.0
239,240,29,0,6.0
240,241,37,0,1.0
241,242,41,0,8.0
242,243,35,0,1.0
243,244,57,0,1.0
244,245,26,0,8.0
245,246,22,0,6.0
246,247,41,0,5.0
247,248,20,0,2.0
248,249,21,0,4.0
249,250,53,0,4.0
250,251,48,0,5.0
251,252,26,0,3.0
252,253,42,0,5.0
253,254,48,0,3.0
254,255,34,0,6.0
255,256,60,0,4.0
256,257,58,0,3.0
257,258,20,0,1.0
258,259,21,0,1.0
259,260,20,0,1.0
260,261,27,0,3.0
261,262,54,0,6.0
262,263,26,0,6.0
263,264,38,0,4.0
264,265,33,0,3.0
265,266,25,0,5.0
266,267,18,0,3.0
267,268,27,0,4.0
268,269,19,0,3.0
269,270,19,0,3.0
270,271,21,0,3.0
271,272,16,0,1.0
272,273,13,0,3.0
273,274,42,0,3.0
274,275,29,0,5.0
275,276,26,0,6.0
276,277,55,0,6.0
277,278,44,0,3.0
278,279,42,1,3.0
